,title,name,type,img
171,Historical Figures (200's),Sima Yi,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
172,Historical Figures (1st Millenium BCE),Gaius Valerius Catullus,ENFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
173,Historical Figures (1900s),Douglas MacArthur,ESTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
174,Historical Figures (1900s),Hideki Tojo (東條 英機),ISTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
175,Historical Figures (1000's BCE),Tutankhamun,ISTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
176,Historical Figures (1000s),William the Conqueror,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
177,Historical Figures (1800s),Carl von Clausewitz,INTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
178,Historical Figures (1900s),Erich von Manstein,ISTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
179,Historical Figures (1600s),Cardinal Richelieu,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
180,Historical Figures (1st Millenium BCE),Philip II of Macedon,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
181,Historical Figures (1800s),Susan B. Anthony,INFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
182,Historical Figures (1800s),José de San Martín,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
183,Historical Figures (1900s),Józef Piłsudski,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
184,Historical Figures (1600s),Charles I of England,ISFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
185,Historical Figures (1800s),Napoleon III,ENFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
186,Historical Figures (1900s),António de Oliveira Salazar,ISTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
187,Historical Figures (1200s),"Frederick II, Holy Roman Emperor",ENTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
188,Historical Figures (1900s),Gamal Abdel Nasser,ENFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
189,Historical Figures (1500s),Akbar the Great,ENFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
190,Historical Figures (1800s),Giuseppe Garibaldi,ENFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
191,Historical Figures (1700s),Maria Theresa,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
192,Historical Figures (200's),Elagabalus,ESFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
193,Historical Figures (1400s),Lorenzo de' Medici,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
194,Historical Figures (1700s),Thomas Paine,ENTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
195,Historical Figures (1500s),Toyotomi Hideyoshi,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
196,Historical Figures (1000's BCE),Akhenaten,INFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
197,Historical Figures (1900s),Václav Havel,ENFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
198,Historical Figures (1900s),James Baldwin,INFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
199,Historical Figures (1800s),Stonewall Jackson,ISTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
200,Historical Figures (1800s),Alois Hitler,ESTJ,https://www.personality-database.com/profile_images/67542.png
201,Historical Figures (1900s),Salvador Allende,ENFJ,https://www.personality-database.com/profile_images/54845.png
202,Historical Figures (1900s),T. E. Lawrence,INFJ,https://www.personality-database.com/profile_images/37057.png
203,Historical Figures (1900s),Nikita Khrushchev,ESFP,https://www.personality-database.com/profile_images/40833.png
204,Historical Figures (100's),Commodus,ESFP,https://www.personality-database.com/profile_images/35766.png
205,Historical Figures (1700s),George III,ESTJ,https://www.personality-database.com/profile_images/18125.png
206,Historical Figures (1400s),Richard III of England,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
207,Historical Figures (1800s),Abdel-Kader El Djezairi,INFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
208,Historical Figures (1500s),Henry VII of England,ISTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
209,Historical Figures (1900s),Ferdinand Marcos,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
210,Historical Figures (1500s),Yi Sun-Sin,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
211,Historical Figures (1500s),Francis Drake,ENTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
212,Historical Figures (1600s),"Aurangzeb Alamgir, Mughal Emperor",ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
213,Historical Figures (1700s),"Edward ""Blackbeard"" Teach (Pirate)",ESTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
214,Historical Figures (1800s),"Wilhelm I. / William I, German Emperor",INFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
215,Historical Figures (1300s),"Charles IV, Holy Roman Emperor",ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
216,Historical Figures (1900s),Thomas Sankara,ENFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
217,Historical Figures (1800s),Franz Joseph I of Austria,ISTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
218,Historical Figures (1st Millenium BCE),Scipio Africanus,ENFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
